application/ogg         ogg
application/pdf         pdf
application/wasm        wasm
application/xml         xsl xml
application/xml-dtd     dtd
application/xslt+xml    xslt
application/zip         zip
audio/mpeg              mp2 mp3 mpga
image/gif               gif
image/jpeg              jpeg jpe jpg
image/png               png
image/svg+xml           svg
text/css                css
text/html               html htm
text/javascript         js
text/plain              txt asc
video/mpeg              mpeg mpe mpg
video/quicktime         qt mov
video/x-msvideo         avi
video/mp4               mp4
